id,name,template,reference,icon_path
94,exi,,[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration],NULL
95,fastinfoset,application/fastinfoset,[ITU-T_ASN.1_Rapporteur],NULL
96,fastsoap,application/fastsoap,[ITU-T_ASN.1_Rapporteur],NULL
97,fdt+xml,application/fdt+xml,[RFC6726],NULL
98,fits,application/fits,[RFC4047],NULL
99,font-sfnt,application/font-sfnt,"[Levantovsky][ISO-IEC JTC1]",NULL
100,font-tdpfr,application/font-tdpfr,[RFC3073],NULL
101,font-woff,application/font-woff,[W3C],NULL
102,framework-attributes+xml,application/framework-attributes+xml,[RFC6230],NULL
103,geo+json,application/geo+json,[RFC7946],NULL
104,gzip,application/gzip,[RFC6713],NULL
105,H224,application/H224,[RFC4573],NULL
106,held+xml,application/held+xml,[RFC5985],NULL
107,http,application/http,[RFC7230],NULL
108,hyperstudio,application/hyperstudio,[Michael_Domino],NULL
109,ibe-key-request+xml,application/ibe-key-request+xml,[RFC5408],NULL
110,ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,[RFC5408],NULL
111,ibe-pp-data,application/ibe-pp-data,[RFC5408],NULL
112,iges,application/iges,[Curtis_Parks],NULL
113,im-iscomposing+xml,application/im-iscomposing+xml,[RFC3994],NULL
114,index,application/index,[RFC2652],NULL
115,index.cmd,application/index.cmd,[RFC2652],NULL
116,index.obj,application/index-obj,[RFC2652],NULL
117,index.response,application/index.response,[RFC2652],NULL
118,index.vnd,application/index.vnd,[RFC2652],NULL
119,inkml+xml,application/inkml+xml,[Kazuyuki_Ashimura],NULL
120,iotp,application/IOTP,[RFC2935],NULL
121,ipfix,application/ipfix,[RFC5655],NULL
122,ipp,application/ipp,[RFC-sweet-rfc2910bis-09],NULL
123,isup,application/ISUP,[RFC3204],NULL
124,its+xml,application/its+xml,[W3C][ITS-IG-W3C],NULL
125,javascript,application/javascript,[RFC4329],NULL
126,jose,application/jose,[RFC7515],NULL
127,jose+json,application/jose+json,[RFC7515],NULL
128,jrd+json,application/jrd+json,[RFC7033],NULL
129,json,application/json,[RFC7159],NULL
130,json-patch+json,application/json-patch+json,[RFC6902],NULL
131,json-seq,application/json-seq,[RFC7464],NULL
132,jwk+json,application/jwk+json,[RFC7517],NULL
133,jwk-set+json,application/jwk-set+json,[RFC7517],NULL
134,jwt,application/jwt,[RFC7519],NULL
135,kpml-request+xml,application/kpml-request+xml,[RFC4730],NULL
136,kpml-response+xml,application/kpml-response+xml,[RFC4730],NULL
137,ld+json,application/ld+json,[W3C][Ivan_Herman],NULL
138,lgr+xml,application/lgr+xml,[RFC7940],NULL
139,link-format,application/link-format,[RFC6690],NULL
140,load-control+xml,application/load-control+xml,[RFC7200],NULL
141,lost+xml,application/lost+xml,[RFC5222],NULL
142,lostsync+xml,application/lostsync+xml,[RFC6739],NULL
143,LXF,application/LXF,[ASAM][Thomas_Thomsen],NULL
144,mac-binhex40,application/mac-binhex40,[Patrik_Faltstrom],NULL
145,macwriteii,application/macwriteii,[Paul_Lindner],NULL
146,mads+xml,application/mads+xml,[RFC6207],NULL
147,marc,application/marc,[RFC2220],NULL
148,marcxml+xml,application/marcxml+xml,[RFC6207],NULL
149,mathematica,application/mathematica,[Wolfram],NULL
150,mathml-content+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],NULL
151,mathml-presentation+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],NULL
152,mathml+xml,,[W3C][http://www.w3.org/TR/MathML3/appendixb.html],NULL
153,mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml,[_3GPP],NULL
154,mbms-deregister+xml,application/mbms-deregister+xml,[_3GPP],NULL
155,mbms-envelope+xml,application/mbms-envelope+xml,[_3GPP],NULL
156,mbms-msk-response+xml,application/mbms-msk-response+xml,[_3GPP],NULL
157,mbms-msk+xml,application/mbms-msk+xml,[_3GPP],NULL
158,mbms-protection-description+xml,application/mbms-protection-description+xml,[_3GPP],NULL
159,mbms-reception-report+xml,application/mbms-reception-report+xml,[_3GPP],NULL
160,mbms-register-response+xml,application/mbms-register-response+xml,[_3GPP],NULL
161,mbms-register+xml,application/mbms-register+xml,[_3GPP],NULL
162,mbms-schedule+xml,application/mbms-schedule+xml,[_3GPP][Eric_Turcotte],NULL
163,mbms-user-service-description+xml,application/mbms-user-service-description+xml,[_3GPP],NULL
164,mbox,application/mbox,[RFC4155],NULL
165,media_control+xml,application/media_control+xml,[RFC5168],NULL
166,media-policy-dataset+xml,application/media-policy-dataset+xml,[RFC6796],NULL
167,mediaservercontrol+xml,application/mediaservercontrol+xml,[RFC5022],NULL
168,merge-patch+json,application/merge-patch+json,[RFC7396],NULL
169,metalink4+xml,application/metalink4+xml,[RFC5854],NULL
170,mets+xml,application/mets+xml,[RFC6207],NULL
171,MF4,application/MF4,[ASAM][Thomas_Thomsen],NULL
172,mikey,application/mikey,[RFC3830],NULL
173,mods+xml,application/mods+xml,[RFC6207],NULL
174,moss-keys,application/moss-keys,[RFC1848],NULL
175,moss-signature,application/moss-signature,[RFC1848],NULL
176,mosskey-data,application/mosskey-data,[RFC1848],NULL
177,mosskey-request,application/mosskey-request,[RFC1848],NULL
178,mp21,application/mp21,[RFC6381][David_Singer],NULL
179,mp4,application/mp4,[RFC4337][RFC6381],NULL
180,mpeg4-generic,application/mpeg4-generic,[RFC3640],NULL
181,mpeg4-iod,application/mpeg4-iod,[RFC4337],NULL
182,mpeg4-iod-xmt,application/mpeg4-iod-xmt,[RFC4337],NULL
183,mrb-consumer+xml,application/mrb-consumer+xml,[RFC6917],NULL
184,mrb-publish+xml,application/mrb-publish+xml,[RFC6917],NULL
185,msc-ivr+xml,application/msc-ivr+xml,[RFC6231],NULL
186,msc-mixer+xml,application/msc-mixer+xml,[RFC6505],NULL
187,msword,application/msword,[Paul_Lindner],NULL
188,mxf,application/mxf,[RFC4539],NULL
189,nasdata,application/nasdata,[RFC4707],NULL
190,news-checkgroups,application/news-checkgroups,[RFC5537],NULL
191,news-groupinfo,application/news-groupinfo,[RFC5537],NULL
192,news-transmission,application/news-transmission,[RFC5537],NULL
193,nlsml+xml,application/nlsml+xml,[RFC6787],NULL
194,nss,application/nss,[Michael_Hammer],NULL
195,ocsp-request,application/ocsp-request,[RFC6960],NULL
196,ocsp-response,application/ocsp-response,[RFC6960],NULL
197,octet-stream,application/octet-stream,[RFC2045][RFC2046],NULL
198,oda,application/ODA,[RFC2045][RFC2046],NULL
199,ODX,application/ODX,[ASAM][Thomas_Thomsen],NULL
200,oebps-package+xml,application/oebps-package+xml,[RFC4839],NULL
201,ogg,application/ogg,[RFC5334][RFC7845],NULL
202,oxps,application/oxps,[Ecma_International_Helpdesk],NULL
203,p2p-overlay+xml,application/p2p-overlay+xml,[RFC6940],NULL
204,parityfec,,[RFC5109],NULL
205,patch-ops-error+xml,application/patch-ops-error+xml,[RFC5261],NULL
206,pdf,application/pdf,[RFC3778],NULL
207,PDX,application/PDX,[ASAM][Thomas_Thomsen],NULL
208,pgp-encrypted,application/pgp-encrypted,[RFC3156],NULL
209,pgp-keys,,[RFC3156],NULL
210,pgp-signature,application/pgp-signature,[RFC3156],NULL
211,pidf-diff+xml,application/pidf-diff+xml,[RFC5262],NULL
212,pidf+xml,application/pidf+xml,[RFC3863],NULL
213,pkcs10,application/pkcs10,[RFC5967],NULL
214,pkcs7-mime,application/pkcs7-mime,[RFC5751][RFC7114],NULL
215,pkcs7-signature,application/pkcs7-signature,[RFC5751],NULL
216,pkcs8,application/pkcs8,[RFC5958],NULL
217,pkcs12,application/pkcs12,[IETF],NULL
218,pkix-attr-cert,application/pkix-attr-cert,[RFC5877],NULL
219,pkix-cert,application/pkix-cert,[RFC2585],NULL
220,pkix-crl,application/pkix-crl,[RFC2585],NULL
221,pkix-pkipath,application/pkix-pkipath,[RFC6066],NULL
222,pkixcmp,application/pkixcmp,[RFC2510],NULL
223,pls+xml,application/pls+xml,[RFC4267],NULL
224,poc-settings+xml,application/poc-settings+xml,[RFC4354],NULL
225,postscript,application/postscript,[RFC2045][RFC2046],NULL
226,ppsp-tracker+json,application/ppsp-tracker+json,[RFC7846],NULL
227,problem+json,application/problem+json,[RFC7807],NULL
228,problem+xml,application/problem+xml,[RFC7807],NULL
229,provenance+xml,application/provenance+xml,[W3C][Ivan_Herman],NULL
230,prs.alvestrand.titrax-sheet,application/prs.alvestrand.titrax-sheet,[Harald_T._Alvestrand],NULL
231,prs.cww,application/prs.cww,[Khemchart_Rungchavalnont],NULL
232,prs.hpub+zip,application/prs.hpub+zip,[Giulio_Zambon],NULL
233,prs.nprend,application/prs.nprend,[Jay_Doggett],NULL
234,prs.plucker,application/prs.plucker,[Bill_Janssen],NULL
235,prs.rdf-xml-crypt,application/prs.rdf-xml-crypt,[Toby_Inkster],NULL
236,prs.xsf+xml,application/prs.xsf+xml,[Maik_Stührenberg],NULL
237,pskc+xml,application/pskc+xml,[RFC6030],NULL
238,rdf+xml,application/rdf+xml,[RFC3870],NULL
239,qsig,application/QSIG,[RFC3204],NULL
240,raptorfec,application/raptorfec,[RFC6682],NULL
241,rdap+json,application/rdap+json,[RFC7483],NULL
242,reginfo+xml,application/reginfo+xml,[RFC3680],NULL
243,relax-ng-compact-syntax,application/relax-ng-compact-syntax,[http://www.jtc1sc34.org/repository/0661.pdf],NULL
244,remote-printing,application/remote-printing,[RFC1486][Marshall_Rose],NULL
245,reputon+json,application/reputon+json,[RFC7071],NULL
246,resource-lists-diff+xml,application/resource-lists-diff+xml,[RFC5362],NULL
247,resource-lists+xml,application/resource-lists+xml,[RFC4826],NULL
248,rfc+xml,application/rfc+xml,[RFC-iab-xml2rfc-04],NULL
249,riscos,application/riscos,[Nick_Smith],NULL
