id,name,template,reference,icon_path
391,vnd.chemdraw+xml,application/vnd.chemdraw+xml,[Glenn_Howes],NULL
392,vnd.chess-pgn,application/vnd.chess-pgn,[Kim_Scarborough],NULL
393,vnd.chipnuts.karaoke-mmd,application/vnd.chipnuts.karaoke-mmd,[Chunyun_Xiong],NULL
394,vnd.cinderella,application/vnd.cinderella,[Ulrich_Kortenkamp],NULL
395,vnd.cirpack.isdn-ext,application/vnd.cirpack.isdn-ext,[Pascal_Mayeux],NULL
396,vnd.citationstyles.style+xml,application/vnd.citationstyles.style+xml,[Rintze_M._Zelle],NULL
397,vnd.claymore,application/vnd.claymore,[Ray_Simpson],NULL
398,vnd.cloanto.rp9,application/vnd.cloanto.rp9,[Mike_Labatt],NULL
399,vnd.clonk.c4group,application/vnd.clonk.c4group,[Guenther_Brammer],NULL
400,vnd.cluetrust.cartomobile-config,application/vnd.cluetrust.cartomobile-config,[Gaige_Paulsen],NULL
401,vnd.cluetrust.cartomobile-config-pkg,application/vnd.cluetrust.cartomobile-config-pkg,[Gaige_Paulsen],NULL
402,vnd.coffeescript,application/vnd.coffeescript,[Devyn_Collier_Johnson],NULL
403,vnd.collection.doc+json,application/vnd.collection.doc+json,[Irakli_Nadareishvili],NULL
404,vnd.collection+json,application/vnd.collection+json,[Mike_Amundsen],NULL
405,vnd.collection.next+json,application/vnd.collection.next+json,[Ioseb_Dzmanashvili],NULL
406,vnd.comicbook+zip,application/vnd.comicbook+zip,[Kim_Scarborough],NULL
407,vnd.commerce-battelle,application/vnd.commerce-battelle,[David_Applebaum],NULL
408,vnd.commonspace,application/vnd.commonspace,[Ravinder_Chandhok],NULL
409,vnd.coreos.ignition+json,application/vnd.coreos.ignition+json,[Alex_Crawford],NULL
410,vnd.cosmocaller,application/vnd.cosmocaller,[Steve_Dellutri],NULL
411,vnd.contact.cmsg,application/vnd.contact.cmsg,[Frank_Patz],NULL
412,vnd.crick.clicker,application/vnd.crick.clicker,[Andrew_Burt],NULL
413,vnd.crick.clicker.keyboard,application/vnd.crick.clicker.keyboard,[Andrew_Burt],NULL
414,vnd.crick.clicker.palette,application/vnd.crick.clicker.palette,[Andrew_Burt],NULL
415,vnd.crick.clicker.template,application/vnd.crick.clicker.template,[Andrew_Burt],NULL
416,vnd.crick.clicker.wordbank,application/vnd.crick.clicker.wordbank,[Andrew_Burt],NULL
417,vnd.criticaltools.wbs+xml,application/vnd.criticaltools.wbs+xml,[Jim_Spiller],NULL
418,vnd.ctc-posml,application/vnd.ctc-posml,[Bayard_Kohlhepp],NULL
419,vnd.ctct.ws+xml,application/vnd.ctct.ws+xml,[Jim_Ancona],NULL
420,vnd.cups-pdf,application/vnd.cups-pdf,[Michael_Sweet],NULL
421,vnd.cups-postscript,application/vnd.cups-postscript,[Michael_Sweet],NULL
422,vnd.cups-ppd,application/vnd.cups-ppd,[Michael_Sweet],NULL
423,vnd.cups-raster,application/vnd.cups-raster,[Michael_Sweet],NULL
424,vnd.cups-raw,application/vnd.cups-raw,[Michael_Sweet],NULL
425,vnd.curl,application/vnd-curl,[Robert_Byrnes],NULL
426,vnd.cyan.dean.root+xml,application/vnd.cyan.dean.root+xml,[Matt_Kern],NULL
427,vnd.cybank,application/vnd.cybank,[Nor_Helmee],NULL
428,vnd.d2l.coursepackage1p0+zip,application/vnd.d2l.coursepackage1p0+zip,[Viktor_Haag],NULL
429,vnd.dart,application/vnd-dart,[Anders_Sandholm],NULL
430,vnd.data-vision.rdz,application/vnd.data-vision.rdz,[James_Fields],NULL
431,vnd.debian.binary-package,application/vnd.debian.binary-package,[Charles_Plessy],NULL
432,vnd.dece.data,application/vnd.dece.data,[Michael_A_Dolan],NULL
433,vnd.dece.ttml+xml,application/vnd.dece.ttml+xml,[Michael_A_Dolan],NULL
434,vnd.dece.unspecified,application/vnd.dece.unspecified,[Michael_A_Dolan],NULL
435,vnd.dece.zip,application/vnd.dece-zip,[Michael_A_Dolan],NULL
436,vnd.denovo.fcselayout-link,application/vnd.denovo.fcselayout-link,[Michael_Dixon],NULL
437,vnd.desmume.movie,application/vnd.desmume-movie,[Henrik_Andersson],NULL
438,vnd.dir-bi.plate-dl-nosuffix,application/vnd.dir-bi.plate-dl-nosuffix,[Yamanaka],NULL
439,vnd.dm.delegation+xml,application/vnd.dm.delegation+xml,[Axel_Ferrazzini],NULL
440,vnd.dna,application/vnd.dna,[Meredith_Searcy],NULL
441,vnd.document+json,application/vnd.document+json,[Tom_Christie],NULL
442,vnd.dolby.mobile.1,application/vnd.dolby.mobile.1,[Steve_Hattersley],NULL
443,vnd.dolby.mobile.2,application/vnd.dolby.mobile.2,[Steve_Hattersley],NULL
444,vnd.doremir.scorecloud-binary-document,application/vnd.doremir.scorecloud-binary-document,[Erik_Ronström],NULL
445,vnd.dpgraph,application/vnd.dpgraph,[David_Parker],NULL
446,vnd.dreamfactory,application/vnd.dreamfactory,[William_C._Appleton],NULL
447,vnd.drive+json,application/vnd.drive+json,[Keith_Kester],NULL
448,vnd.dtg.local,application/vnd.dtg.local,[Ali_Teffahi],NULL
449,vnd.dtg.local.flash,application/vnd.dtg.local.flash,[Ali_Teffahi],NULL
450,vnd.dtg.local.html,application/vnd.dtg.local-html,[Ali_Teffahi],NULL
451,vnd.dvb.ait,application/vnd.dvb.ait,[Peter_Siebert][Michael_Lagally],NULL
452,vnd.dvb.dvbj,application/vnd.dvb.dvbj,[Peter_Siebert][Michael_Lagally],NULL
453,vnd.dvb.esgcontainer,application/vnd.dvb.esgcontainer,[Joerg_Heuer],NULL
454,vnd.dvb.ipdcdftnotifaccess,application/vnd.dvb.ipdcdftnotifaccess,[Roy_Yue],NULL
455,vnd.dvb.ipdcesgaccess,application/vnd.dvb.ipdcesgaccess,[Joerg_Heuer],NULL
456,vnd.dvb.ipdcesgaccess2,application/vnd.dvb.ipdcesgaccess2,[Jerome_Marcon],NULL
457,vnd.dvb.ipdcesgpdd,application/vnd.dvb.ipdcesgpdd,[Jerome_Marcon],NULL
458,vnd.dvb.ipdcroaming,application/vnd.dvb.ipdcroaming,[Yiling_Xu],NULL
459,vnd.dvb.iptv.alfec-base,application/vnd.dvb.iptv.alfec-base,[Jean-Baptiste_Henry],NULL
460,vnd.dvb.iptv.alfec-enhancement,application/vnd.dvb.iptv.alfec-enhancement,[Jean-Baptiste_Henry],NULL
461,vnd.dvb.notif-aggregate-root+xml,application/vnd.dvb.notif-aggregate-root+xml,[Roy_Yue],NULL
462,vnd.dvb.notif-container+xml,application/vnd.dvb.notif-container+xml,[Roy_Yue],NULL
463,vnd.dvb.notif-generic+xml,application/vnd.dvb.notif-generic+xml,[Roy_Yue],NULL
464,vnd.dvb.notif-ia-msglist+xml,application/vnd.dvb.notif-ia-msglist+xml,[Roy_Yue],NULL
465,vnd.dvb.notif-ia-registration-request+xml,application/vnd.dvb.notif-ia-registration-request+xml,[Roy_Yue],NULL
466,vnd.dvb.notif-ia-registration-response+xml,application/vnd.dvb.notif-ia-registration-response+xml,[Roy_Yue],NULL
467,vnd.dvb.notif-init+xml,application/vnd.dvb.notif-init+xml,[Roy_Yue],NULL
468,vnd.dvb.pfr,application/vnd.dvb.pfr,[Peter_Siebert][Michael_Lagally],NULL
469,vnd.dvb.service,application/vnd.dvb_service,[Peter_Siebert][Michael_Lagally],NULL
470,vnd.dxr,application/vnd-dxr,[Michael_Duffy],NULL
471,vnd.dynageo,application/vnd.dynageo,[Roland_Mechling],NULL
472,vnd.dzr,application/vnd.dzr,[Carl_Anderson],NULL
473,vnd.easykaraoke.cdgdownload,application/vnd.easykaraoke.cdgdownload,[Iain_Downs],NULL
474,vnd.ecdis-update,application/vnd.ecdis-update,[Gert_Buettgenbach],NULL
475,vnd.ecowin.chart,application/vnd.ecowin.chart,[Thomas_Olsson],NULL
476,vnd.ecowin.filerequest,application/vnd.ecowin.filerequest,[Thomas_Olsson],NULL
477,vnd.ecowin.fileupdate,application/vnd.ecowin.fileupdate,[Thomas_Olsson],NULL
478,vnd.ecowin.series,application/vnd.ecowin.series,[Thomas_Olsson],NULL
479,vnd.ecowin.seriesrequest,application/vnd.ecowin.seriesrequest,[Thomas_Olsson],NULL
480,vnd.ecowin.seriesupdate,application/vnd.ecowin.seriesupdate,[Thomas_Olsson],NULL
481,vnd.emclient.accessrequest+xml,application/vnd.emclient.accessrequest+xml,[Filip_Navara],NULL
482,vnd.enliven,application/vnd.enliven,[Paul_Santinelli_Jr.],NULL
483,vnd.enphase.envoy,application/vnd.enphase.envoy,[Chris_Eich],NULL
484,vnd.eprints.data+xml,application/vnd.eprints.data+xml,[Tim_Brody],NULL
485,vnd.epson.esf,application/vnd.epson.esf,[Shoji_Hoshina],NULL
486,vnd.epson.msf,application/vnd.epson.msf,[Shoji_Hoshina],NULL
487,vnd.epson.quickanime,application/vnd.epson.quickanime,[Yu_Gu],NULL
488,vnd.epson.salt,application/vnd.epson.salt,[Yasuhito_Nagatomo],NULL
489,vnd.epson.ssf,application/vnd.epson.ssf,[Shoji_Hoshina],NULL
490,vnd.ericsson.quickcall,application/vnd.ericsson.quickcall,[Paul_Tidwell],NULL
491,vnd.espass-espass+zip,application/vnd.espass-espass+zip,[Marcus_Ligi_Büschleb],NULL
492,vnd.eszigno3+xml,application/vnd.eszigno3+xml,[Szilveszter_Tóth],NULL
493,vnd.etsi.aoc+xml,application/vnd.etsi.aoc+xml,[Shicheng_Hu],NULL
494,vnd.etsi.asic-s+zip,application/vnd.etsi.asic-s+zip,[Miguel_Angel_Reina_Ortega],NULL
495,vnd.etsi.asic-e+zip,application/vnd.etsi.asic-e+zip,[Miguel_Angel_Reina_Ortega],NULL
496,vnd.etsi.cug+xml,application/vnd.etsi.cug+xml,[Shicheng_Hu],NULL
497,vnd.etsi.iptvcommand+xml,application/vnd.etsi.iptvcommand+xml,[Shicheng_Hu],NULL
498,vnd.etsi.iptvdiscovery+xml,application/vnd.etsi.iptvdiscovery+xml,[Shicheng_Hu],NULL
499,vnd.etsi.iptvprofile+xml,application/vnd.etsi.iptvprofile+xml,[Shicheng_Hu],NULL
500,vnd.etsi.iptvsad-bc+xml,application/vnd.etsi.iptvsad-bc+xml,[Shicheng_Hu],NULL
501,vnd.etsi.iptvsad-cod+xml,application/vnd.etsi.iptvsad-cod+xml,[Shicheng_Hu],NULL
502,vnd.etsi.iptvsad-npvr+xml,application/vnd.etsi.iptvsad-npvr+xml,[Shicheng_Hu],NULL
503,vnd.etsi.iptvservice+xml,application/vnd.etsi.iptvservice+xml,[Miguel_Angel_Reina_Ortega],NULL
504,vnd.etsi.iptvsync+xml,application/vnd.etsi.iptvsync+xml,[Miguel_Angel_Reina_Ortega],NULL
505,vnd.etsi.iptvueprofile+xml,application/vnd.etsi.iptvueprofile+xml,[Shicheng_Hu],NULL
506,vnd.etsi.mcid+xml,application/vnd.etsi.mcid+xml,[Shicheng_Hu],NULL
507,vnd.etsi.mheg5,application/vnd.etsi.mheg5,[Miguel_Angel_Reina_Ortega][Ian_Medland],NULL
508,vnd.etsi.overload-control-policy-dataset+xml,application/vnd.etsi.overload-control-policy-dataset+xml,[Miguel_Angel_Reina_Ortega],NULL
509,vnd.etsi.pstn+xml,application/vnd.etsi.pstn+xml,[Jiwan_Han][Thomas_Belling],NULL
510,vnd.etsi.sci+xml,application/vnd.etsi.sci+xml,[Shicheng_Hu],NULL
511,vnd.etsi.simservs+xml,application/vnd.etsi.simservs+xml,[Shicheng_Hu],NULL
512,vnd.etsi.timestamp-token,application/vnd.etsi.timestamp-token,[Miguel_Angel_Reina_Ortega],NULL
513,vnd.etsi.tsl+xml,application/vnd.etsi.tsl+xml,[Shicheng_Hu],NULL
514,vnd.etsi.tsl.der,application/vnd.etsi.tsl.der,[Shicheng_Hu],NULL
515,vnd.eudora.data,application/vnd.eudora.data,[Pete_Resnick],NULL
516,vnd.ezpix-album,application/vnd.ezpix-album,[ElectronicZombieCorp],NULL
517,vnd.ezpix-package,application/vnd.ezpix-package,[ElectronicZombieCorp],NULL
518,vnd.f-secure.mobile,application/vnd.f-secure.mobile,[Samu_Sarivaara],NULL
519,vnd.fastcopy-disk-image,application/vnd.fastcopy-disk-image,[Thomas_Huth],NULL
520,vnd.fdf,application/vnd-fdf,[Steve_Zilles],NULL
521,vnd.fdsn.mseed,application/vnd.fdsn.mseed,[Chad_Trabant],NULL
522,vnd.fdsn.seed,application/vnd.fdsn.seed,[Chad_Trabant],NULL
523,vnd.ffsns,application/vnd.ffsns,[Holstage],NULL
524,vnd.filmit.zfc,application/vnd.filmit.zfc,[Harms_Moeller],NULL
525,vnd.fints,application/vnd.fints,[Ingo_Hammann],NULL
526,vnd.firemonkeys.cloudcell,application/vnd.firemonkeys.cloudcell,[Alex_Dubov],NULL
527,vnd.FloGraphIt,application/vnd.FloGraphIt,[Dick_Floersch],NULL
528,vnd.fluxtime.clip,application/vnd.fluxtime.clip,[Marc_Winter],NULL
529,vnd.font-fontforge-sfd,application/vnd.font-fontforge-sfd,[George_Williams],NULL
530,vnd.framemaker,application/vnd.framemaker,[Mike_Wexler],NULL
531,vnd.frogans.fnc,application/vnd.frogans.fnc,[Alexis_Tamas],NULL
532,vnd.frogans.ltf,application/vnd.frogans.ltf,[Alexis_Tamas],NULL
533,vnd.fsc.weblaunch,application/vnd.fsc.weblaunch,[Derek_Smith],NULL
534,vnd.fujitsu.oasys,application/vnd.fujitsu.oasys,[Nobukazu_Togashi],NULL
535,vnd.fujitsu.oasys2,application/vnd.fujitsu.oasys2,[Nobukazu_Togashi],NULL
536,vnd.fujitsu.oasys3,application/vnd.fujitsu.oasys3,[Seiji_Okudaira],NULL
537,vnd.fujitsu.oasysgp,application/vnd.fujitsu.oasysgp,[Masahiko_Sugimoto],NULL
538,vnd.fujitsu.oasysprs,application/vnd.fujitsu.oasysprs,[Masumi_Ogita],NULL
539,vnd.fujixerox.ART4,application/vnd.fujixerox.ART4,[Fumio_Tanabe],NULL
540,vnd.fujixerox.ART-EX,application/vnd.fujixerox.ART-EX,[Fumio_Tanabe],NULL
541,vnd.fujixerox.ddd,application/vnd.fujixerox.ddd,[Masanori_Onda],NULL
542,vnd.fujixerox.docuworks,application/vnd.fujixerox.docuworks,[Yasuo_Taguchi],NULL
543,vnd.fujixerox.docuworks.binder,application/vnd.fujixerox.docuworks.binder,[Takashi_Matsumoto],NULL
544,vnd.fujixerox.docuworks.container,application/vnd.fujixerox.docuworks.container,[Kiyoshi_Tashiro],NULL
545,vnd.fujixerox.HBPL,application/vnd.fujixerox.HBPL,[Fumio_Tanabe],NULL
546,vnd.fut-misnet,application/vnd.fut-misnet,[Jann_Pruulman],NULL
547,vnd.fuzzysheet,application/vnd.fuzzysheet,[Simon_Birtwistle],NULL
548,vnd.genomatix.tuxedo,application/vnd.genomatix.tuxedo,[Torben_Frey],NULL
549,"vnd.geo+json (OBSOLETED by [RFC7946] in favor of application/geo+json)",application/vnd.geo+json,[Sean_Gillies],NULL
550,"vnd.geocube+xml - OBSOLETED by request",application/vnd.geocube+xml,[Francois_Pirsch],NULL
551,vnd.geogebra.file,application/vnd.geogebra.file,[GeoGebra][Yves_Kreis],NULL
552,vnd.geogebra.tool,application/vnd.geogebra.tool,[GeoGebra][Yves_Kreis],NULL
553,vnd.geometry-explorer,application/vnd.geometry-explorer,[Michael_Hvidsten],NULL
554,vnd.geonext,application/vnd.geonext,[Matthias_Ehmann],NULL
555,vnd.geoplan,application/vnd.geoplan,[Christian_Mercat],NULL
556,vnd.geospace,application/vnd.geospace,[Christian_Mercat],NULL
557,vnd.gerber,application/vnd.gerber,[Thomas_Weyn],NULL
558,vnd.globalplatform.card-content-mgt,application/vnd.globalplatform.card-content-mgt,[Gil_Bernabeu],NULL
559,vnd.globalplatform.card-content-mgt-response,application/vnd.globalplatform.card-content-mgt-response,[Gil_Bernabeu],NULL
560,"vnd.gmx - DEPRECATED",application/vnd.gmx,[Christian_V._Sciberras],NULL
561,vnd.google-earth.kml+xml,application/vnd.google-earth.kml+xml,[Michael_Ashbridge],NULL
562,vnd.google-earth.kmz,application/vnd.google-earth.kmz,[Michael_Ashbridge],NULL
563,vnd.gov.sk.e-form+xml,application/vnd.gov.sk.e-form+xml,[Peter_Biro][Stefan_Szilva],NULL
564,vnd.gov.sk.e-form+zip,application/vnd.gov.sk.e-form+zip,[Peter_Biro][Stefan_Szilva],NULL
565,vnd.gov.sk.xmldatacontainer+xml,application/vnd.gov.sk.xmldatacontainer+xml,[Peter_Biro][Stefan_Szilva],NULL
566,vnd.grafeq,application/vnd.grafeq,[Jeff_Tupper],NULL
567,vnd.gridmp,application/vnd.gridmp,[Jeff_Lawson],NULL
568,vnd.groove-account,application/vnd.groove-account,[Todd_Joseph],NULL
569,vnd.groove-help,application/vnd.groove-help,[Todd_Joseph],NULL
570,vnd.groove-identity-message,application/vnd.groove-identity-message,[Todd_Joseph],NULL
571,vnd.groove-injector,application/vnd.groove-injector,[Todd_Joseph],NULL
572,vnd.groove-tool-message,application/vnd.groove-tool-message,[Todd_Joseph],NULL
573,vnd.groove-tool-template,application/vnd.groove-tool-template,[Todd_Joseph],NULL
574,vnd.groove-vcard,application/vnd.groove-vcard,[Todd_Joseph],NULL
575,vnd.hal+json,application/vnd.hal+json,[Mike_Kelly],NULL
576,vnd.hal+xml,application/vnd.hal+xml,[Mike_Kelly],NULL
577,vnd.HandHeld-Entertainment+xml,application/vnd.HandHeld-Entertainment+xml,[Eric_Hamilton],NULL
578,vnd.hbci,application/vnd.hbci,[Ingo_Hammann],NULL
579,vnd.hcl-bireports,application/vnd.hcl-bireports,[Doug_R._Serres],NULL
580,vnd.hdt,application/vnd.hdt,[Javier_D._Fernández],NULL
581,vnd.heroku+json,application/vnd.heroku+json,[Wesley_Beary],NULL
582,vnd.hhe.lesson-player,application/vnd.hhe.lesson-player,[Randy_Jones],NULL
583,vnd.hp-HPGL,application/vnd.hp-HPGL,[Bob_Pentecost],NULL
584,vnd.hp-hpid,application/vnd.hp-hpid,[Aloke_Gupta],NULL
585,vnd.hp-hps,application/vnd.hp-hps,[Steve_Aubrey],NULL
586,vnd.hp-jlyt,application/vnd.hp-jlyt,[Amir_Gaash],NULL
587,vnd.hp-PCL,application/vnd.hp-PCL,[Bob_Pentecost],NULL
588,vnd.hp-PCLXL,application/vnd.hp-PCLXL,[Bob_Pentecost],NULL
589,vnd.httphone,application/vnd.httphone,[Franck_Lefevre],NULL
590,vnd.hydrostatix.sof-data,application/vnd.hydrostatix.sof-data,[Allen_Gillam],NULL
591,vnd.hyperdrive+json,application/vnd.hyperdrive+json,[Daniel_Sims],NULL
592,vnd.hzn-3d-crossword,application/vnd.hzn-3d-crossword,[James_Minnis],NULL
593,vnd.ibm.afplinedata,application/vnd.ibm.afplinedata,[Roger_Buis],NULL
594,vnd.ibm.electronic-media,application/vnd.ibm.electronic-media,[Bruce_Tantlinger],NULL
595,vnd.ibm.MiniPay,application/vnd.ibm.MiniPay,[Amir_Herzberg],NULL
596,vnd.ibm.modcap,application/vnd.ibm.modcap,[Reinhard_Hohensee],NULL
597,vnd.ibm.rights-management,application/vnd.ibm.rights-management,[Bruce_Tantlinger],NULL
598,vnd.ibm.secure-container,application/vnd.ibm.secure-container,[Bruce_Tantlinger],NULL
599,vnd.iccprofile,application/vnd.iccprofile,[Phil_Green],NULL
600,vnd.ieee.1905,application/vnd.ieee.1905,[Purva_R_Rajkotia],NULL
601,vnd.igloader,application/vnd.igloader,[Tim_Fisher],NULL
602,vnd.immervision-ivp,application/vnd.immervision-ivp,[Mathieu_Villegas],NULL
603,vnd.immervision-ivu,application/vnd.immervision-ivu,[Mathieu_Villegas],NULL
604,vnd.ims.imsccv1p1,application/vnd.ims.imsccv1p1,[Lisa_Mattson],NULL
605,vnd.ims.imsccv1p2,application/vnd.ims.imsccv1p2,[Lisa_Mattson],NULL
606,vnd.ims.imsccv1p3,application/vnd.ims.imsccv1p3,[Lisa_Mattson],NULL
607,vnd.ims.lis.v2.result+json,application/vnd.ims.lis.v2.result+json,[Lisa_Mattson],NULL
608,vnd.ims.lti.v2.toolconsumerprofile+json,application/vnd.ims.lti.v2.toolconsumerprofile+json,[Lisa_Mattson],NULL
609,vnd.ims.lti.v2.toolproxy.id+json,application/vnd.ims.lti.v2.toolproxy.id+json,[Lisa_Mattson],NULL
610,vnd.ims.lti.v2.toolproxy+json,application/vnd.ims.lti.v2.toolproxy+json,[Lisa_Mattson],NULL
611,vnd.ims.lti.v2.toolsettings+json,application/vnd.ims.lti.v2.toolsettings+json,[Lisa_Mattson],NULL
612,vnd.ims.lti.v2.toolsettings.simple+json,application/vnd.ims.lti.v2.toolsettings.simple+json,[Lisa_Mattson],NULL
613,vnd.informedcontrol.rms+xml,application/vnd.informedcontrol.rms+xml,[Mark_Wahl],NULL
614,vnd.infotech.project,application/vnd.infotech.project,[Charles_Engelke],NULL
615,vnd.infotech.project+xml,application/vnd.infotech.project+xml,[Charles_Engelke],NULL
616,"vnd.informix-visionary - OBSOLETED in favor of application/vnd.visionary",application/vnd.informix-visionary,[Christopher_Gales],NULL
617,vnd.innopath.wamp.notification,application/vnd.innopath.wamp.notification,[Takanori_Sudo],NULL
618,vnd.insors.igm,application/vnd.insors.igm,[Jon_Swanson],NULL
619,vnd.intercon.formnet,application/vnd.intercon.formnet,[Tom_Gurak],NULL
620,vnd.intergeo,application/vnd.intergeo,[Yves_Kreis_2],NULL
621,vnd.intertrust.digibox,application/vnd.intertrust.digibox,[Luke_Tomasello],NULL
622,vnd.intertrust.nncp,application/vnd.intertrust.nncp,[Luke_Tomasello],NULL
623,vnd.intu.qbo,application/vnd.intu.qbo,[Greg_Scratchley],NULL
624,vnd.intu.qfx,application/vnd.intu.qfx,[Greg_Scratchley],NULL
625,vnd.iptc.g2.catalogitem+xml,application/vnd.iptc.g2.catalogitem+xml,[Michael_Steidl],NULL
626,vnd.iptc.g2.conceptitem+xml,application/vnd.iptc.g2.conceptitem+xml,[Michael_Steidl],NULL
627,vnd.iptc.g2.knowledgeitem+xml,application/vnd.iptc.g2.knowledgeitem+xml,[Michael_Steidl],NULL
628,vnd.iptc.g2.newsitem+xml,application/vnd.iptc.g2.newsitem+xml,[Michael_Steidl],NULL
629,vnd.iptc.g2.newsmessage+xml,application/vnd.iptc.g2.newsmessage+xml,[Michael_Steidl],NULL
630,vnd.iptc.g2.packageitem+xml,application/vnd.iptc.g2.packageitem+xml,[Michael_Steidl],NULL
631,vnd.iptc.g2.planningitem+xml,application/vnd.iptc.g2.planningitem+xml,[Michael_Steidl],NULL
632,vnd.ipunplugged.rcprofile,application/vnd.ipunplugged.rcprofile,[Per_Ersson],NULL
633,vnd.irepository.package+xml,application/vnd.irepository.package+xml,[Martin_Knowles],NULL
634,vnd.is-xpr,application/vnd.is-xpr,[Satish_Navarajan],NULL
635,vnd.isac.fcs,application/vnd.isac.fcs,[Ryan_Brinkman],NULL
636,vnd.jam,application/vnd.jam,[Brijesh_Kumar],NULL
637,vnd.japannet-directory-service,application/vnd.japannet-directory-service,[Kiyofusa_Fujii],NULL
638,vnd.japannet-jpnstore-wakeup,application/vnd.japannet-jpnstore-wakeup,[Jun_Yoshitake],NULL
639,vnd.japannet-payment-wakeup,application/vnd.japannet-payment-wakeup,[Kiyofusa_Fujii],NULL
640,vnd.japannet-registration,application/vnd.japannet-registration,[Jun_Yoshitake],NULL
641,vnd.japannet-registration-wakeup,application/vnd.japannet-registration-wakeup,[Kiyofusa_Fujii],NULL
642,vnd.japannet-setstore-wakeup,application/vnd.japannet-setstore-wakeup,[Jun_Yoshitake],NULL
643,vnd.japannet-verification,application/vnd.japannet-verification,[Jun_Yoshitake],NULL
644,vnd.japannet-verification-wakeup,application/vnd.japannet-verification-wakeup,[Kiyofusa_Fujii],NULL
645,vnd.jcp.javame.midlet-rms,application/vnd.jcp.javame.midlet-rms,[Mikhail_Gorshenev],NULL
646,vnd.jisp,application/vnd.jisp,[Sebastiaan_Deckers],NULL
647,vnd.joost.joda-archive,application/vnd.joost.joda-archive,[Joost],NULL
648,vnd.jsk.isdn-ngn,application/vnd.jsk.isdn-ngn,[Yokoyama_Kiyonobu],NULL
649,vnd.kahootz,application/vnd.kahootz,[Tim_Macdonald],NULL
650,vnd.kde.karbon,application/vnd.kde.karbon,[David_Faure],NULL
651,vnd.kde.kchart,application/vnd.kde.kchart,[David_Faure],NULL
652,vnd.kde.kformula,application/vnd.kde.kformula,[David_Faure],NULL
653,vnd.kde.kivio,application/vnd.kde.kivio,[David_Faure],NULL
654,vnd.kde.kontour,application/vnd.kde.kontour,[David_Faure],NULL
655,vnd.kde.kpresenter,application/vnd.kde.kpresenter,[David_Faure],NULL
656,vnd.kde.kspread,application/vnd.kde.kspread,[David_Faure],NULL
657,vnd.kde.kword,application/vnd.kde.kword,[David_Faure],NULL
658,vnd.kenameaapp,application/vnd.kenameaapp,[Dirk_DiGiorgio-Haag],NULL
659,vnd.kidspiration,application/vnd.kidspiration,[Jack_Bennett],NULL
660,vnd.Kinar,application/vnd.Kinar,[Hemant_Thakkar],NULL
661,vnd.koan,application/vnd.koan,[Pete_Cole],NULL
662,vnd.kodak-descriptor,application/vnd.kodak-descriptor,[Michael_J._Donahue],NULL
663,vnd.las.las+xml,application/vnd.las.las+xml,[Rob_Bailey],NULL
664,vnd.liberty-request+xml,application/vnd.liberty-request+xml,[Brett_McDowell],NULL
665,vnd.llamagraphics.life-balance.desktop,application/vnd.llamagraphics.life-balance.desktop,[Catherine_E._White],NULL
666,vnd.llamagraphics.life-balance.exchange+xml,application/vnd.llamagraphics.life-balance.exchange+xml,[Catherine_E._White],NULL
667,vnd.lotus-1-2-3,application/vnd.lotus-1-2-3,[Paul_Wattenberger],NULL
668,vnd.lotus-approach,application/vnd.lotus-approach,[Paul_Wattenberger],NULL
669,vnd.lotus-freelance,application/vnd.lotus-freelance,[Paul_Wattenberger],NULL
670,vnd.lotus-notes,application/vnd.lotus-notes,[Michael_Laramie],NULL
671,vnd.lotus-organizer,application/vnd.lotus-organizer,[Paul_Wattenberger],NULL
672,vnd.lotus-screencam,application/vnd.lotus-screencam,[Paul_Wattenberger],NULL
673,vnd.lotus-wordpro,application/vnd.lotus-wordpro,[Paul_Wattenberger],NULL
674,vnd.macports.portpkg,application/vnd.macports.portpkg,[James_Berry],NULL
675,vnd.mapbox-vector-tile,application/vnd.mapbox-vector-tile,[Blake_Thompson],NULL
676,vnd.marlin.drm.actiontoken+xml,application/vnd.marlin.drm.actiontoken+xml,[Gary_Ellison],NULL
677,vnd.marlin.drm.conftoken+xml,application/vnd.marlin.drm.conftoken+xml,[Gary_Ellison],NULL
678,vnd.marlin.drm.license+xml,application/vnd.marlin.drm.license+xml,[Gary_Ellison],NULL
679,vnd.marlin.drm.mdcf,application/vnd.marlin.drm.mdcf,[Gary_Ellison],NULL
680,vnd.mason+json,application/vnd.mason+json,[Jorn_Wildt],NULL
681,vnd.maxmind.maxmind-db,application/vnd.maxmind.maxmind-db,[William_Stevenson],NULL
682,vnd.mcd,application/vnd.mcd,[Tadashi_Gotoh],NULL
683,vnd.medcalcdata,application/vnd.medcalcdata,[Frank_Schoonjans],NULL
684,vnd.mediastation.cdkey,application/vnd.mediastation.cdkey,[Henry_Flurry],NULL
685,vnd.meridian-slingshot,application/vnd.meridian-slingshot,[Eric_Wedel],NULL
686,vnd.MFER,application/vnd.MFER,[Masaaki_Hirai],NULL
687,vnd.mfmp,application/vnd.mfmp,[Yukari_Ikeda],NULL
688,vnd.micro+json,application/vnd.micro+json,[Dali_Zheng],NULL
689,vnd.micrografx.flo,application/vnd.micrografx.flo,[Joe_Prevo],NULL
690,vnd.micrografx.igx,application/vnd.micrografx-igx,[Joe_Prevo],NULL
